id,dlRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300001,2300001,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3000,2023-5-29 21-39-54, 
2300001,2300001,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1800,2023-5-29 21-39-54, 
2300002,2300002,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-29 21-40-11, 
2300002,2300002,2,10001001,Microneedling RF - HandPiece,2,4725,1450,8000,2023-5-29 21-40-11, 
2300002,2300002,3,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,1700,6000,2023-5-29 21-40-11, 
2300002,2300002,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2400,2023-5-29 21-40-11, 
2300003,2300003,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-29 21-40-26, 
2300003,2300003,2,10001001,Microneedling RF - HandPiece,1,4725,650,4075,2023-5-29 21-40-26, 
2300004,2300004,1,10004000,RF Fractional CO2 Laser,1,81900,2900,79000,2023-5-29 21-40-46, 
2300004,2300004,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7400,2023-5-29 21-40-46, 
2300005,2300005,1,10018003,SVTA Radio Hand Pice 3,3,1960,1880,4000,2023-5-29 21-41-3, 
2300005,2300005,2,10018004,SVTA Radio Hand Pice 4,1,1820,320,1500,2023-5-29 21-41-3, 
2300006,2300006,1,10008000,DeodLeaser,1,15400,300,15100,2023-5-29 21-43-44, 
2300006,2300006,2,10009001,G5 Slimming Applicators,1,2800,255,2545,2023-5-29 21-43-44, 
2300006,2300006,3,10014000,Konmision,1,39200,1200,38000,2023-5-29 21-43-44, 
2300007,2300007,1,10018007,SVTA Radio Hand Pice 7,2,2520,500,4540,2023-5-29 21-44-5, 
2300007,2300007,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1370,2023-5-29 21-44-5, 
2300007,2300007,3,10018000,SVTA Radio,1,25200,3200,22000,2023-5-29 21-44-5, 
2300008,2300008,1,10007000,Crio Lipo,1,36400,3400,33000,2023-5-29 21-44-24, 
2300008,2300008,2,10008001,DeodLeaser Hand Piece,3,2100,1300,5000,2023-5-29 21-44-24, 
2300009,2300009,1,10007000,Crio Lipo,1,36400,4400,32000,2023-5-29 21-45-4, 
2300009,2300009,2,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-29 21-45-4, 
2300010,2300010,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,500,7200,2023-5-29 21-45-21, 
2300010,2300010,2,10004002,RF Fractional CO2 Laser - Accessories,2,1400,20,2780,2023-5-29 21-45-21, 
2300011,2300011,1,10018004,SVTA Radio Hand Pice 4,1,1820,220,1600,2023-5-29 21-45-44, 
2300011,2300011,2,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-29 21-45-44, 
2300012,2300012,1,10008000,DeodLeaser,1,15400,2400,13000,2023-5-29 21-46-10, 
2300012,2300012,2,10009001,G5 Slimming Applicators,1,2800,240,2560,2023-5-29 21-46-10, 
2300013,2300013,1,10017000,SPA Slim,1,8400,400,8000,2023-5-29 21-57-37, 
2300013,2300013,2,10018001,SVTA Radio Hand Pice 1,2,1680,360,3000,2023-5-29 21-57-37, 
2300014,2300014,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7000,2023-5-29 21-58-22, 
2300014,2300014,2,10004002,RF Fractional CO2 Laser - Accessories,4,1400,1600,4000,2023-5-29 21-58-22, 
2300015,2300015,1,10018000,SVTA Radio,1,25200,500,24700,2023-5-29 21-58-46, 
2300015,2300015,2,10018001,SVTA Radio Hand Pice 1,1,1680,180,1500,2023-5-29 21-58-46, 
2300015,2300015,3,10018002,SVTA Radio Hand Pice 2,1,2100,200,1900,2023-5-29 21-58-46, 
2300015,2300015,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1770,2023-5-29 21-58-46, 
2300015,2300015,5,10018004,SVTA Radio Hand Pice 4,1,1820,220,1600,2023-5-29 21-58-46, 
2300016,2300016,1,10006000,Caviation Laser,2,24500,6000,43000,2023-5-29 21-59-12, 
2300017,2300017,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-29 21-59-27, 
2300017,2300017,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-29 21-59-27, 
2300018,2300018,1,10011000,Hydra Fresh,1,74200,14200,60000,2023-5-29 21-59-44, 
2300018,2300018,2,10013000,Jumia,1,25200,5200,20000,2023-5-29 21-59-44, 
2300018,2300018,3,10016000,My Ultrasonic,2,9800,1600,18000,2023-5-29 21-59-44, 
2300019,2300019,1,10012000,Hydra-new,1,16800,280,16520,2023-5-29 22-0-2, 
2300019,2300019,2,10013000,Jumia,1,25200,3200,22000,2023-5-29 22-0-2, 
2300020,2300020,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,41000,2023-5-29 22-0-18, 
2300020,2300020,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,3,6300,3900,15000,2023-5-29 22-0-18, 
2300021,2300021,1,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-29 22-0-35, 
2300021,2300021,2,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3000,2023-5-29 22-0-35, 
2300022,2300022,1,10018000,SVTA Radio,2,25200,4400,46000,2023-5-29 22-0-53, 
2300022,2300022,2,10019000,VCA Laser,1,39200,320,38880,2023-5-29 22-0-53, 
2300023,2300023,1,10018003,SVTA Radio Hand Pice 3,3,1960,880,5000,2023-5-29 22-1-10, 
2300023,2300023,2,10018004,SVTA Radio Hand Pice 4,1,1820,220,1600,2023-5-29 22-1-10, 
2300024,2300024,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-29 22-1-30, 
2300024,2300024,2,10001001,Microneedling RF - HandPiece,2,4725,2450,7000,2023-5-29 22-1-30, 
2300025,2300025,1,10016000,My Ultrasonic,2,9800,2600,17000,2023-5-29 22-1-42, 
2300026,2300026,1,10019000,VCA Laser,2,39200,9400,69000,2023-5-29 22-2-2, 
2300026,2300026,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-29 22-2-2, 
